MovieID,Title,Genres,Year,imdb_id,id,production_countries,genres,original_language,original_title,title,overview,release_date,vote_average,director,writer,actors
11,The American President (1995),Comedy|Drama|Romance,1995,112346,9087.0,United States of America,Comedy|Drama|Romance,English,The American President,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",1995-11-17,6.5,Rob Reiner,Aaron Sorkin,Michael Douglas|Annette Bening|Michael J. Fox|Martin Sheen
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,112896,12110.0,France|United States of America,Comedy|Horror,English,Dracula: Dead and Loving It,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",1995-12-22,5.7,Mel Brooks,Mel Brooks,Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol
13,Balto (1995),Animation|Children's,1995,112453,21032.0,United States of America,Family|Animation|Adventure,English,Balto,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",1995-12-22,7.1,Simon Wells,,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings
14,Nixon (1995),Drama,1995,113987,10858.0,United States of America,History|Drama,English,Nixon,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",1995-12-22,7.1,Oliver Stone,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,112760,1408.0,France|Germany|Italy|United States of America,Action|Adventure,English,Cutthroat Island,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1995-12-22,5.7,Renny Harlin,Marc Norman,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin
16,Casino (1995),Drama|Thriller,1995,112641,524.0,France|United States of America,Drama|Crime,English,Casino,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,1995-11-22,7.8,Martin Scorsese,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci|James Woods
17,Sense and Sensibility (1995),Drama|Romance,1995,114388,4584.0,United Kingdom|United States of America,Drama|Romance,English,Sense and Sensibility,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",1995-12-13,7.2,Ang Lee,Emma Thompson,Kate Winslet|Emma Thompson|Hugh Grant|Tom Wilkinson
18,Four Rooms (1995),Thriller,1995,113101,5.0,United States of America,Crime|Comedy,English,Four Rooms,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,1995-12-09,6.5,Allison Anders,,Tim Roth|Antonio Banderas|Jennifer Beals|Madonna
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,112281,9273.0,United States of America,Crime|Comedy|Adventure,English,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",1995-11-10,6.1,Steve Oedekerk,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi
20,Money Train (1995),Action,1995,113845,11517.0,United States of America,Action|Comedy|Crime,English,Money Train,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",1995-11-21,5.4,Joseph Ruben,Doug Richardson,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake
21,Get Shorty (1995),Action|Comedy|Drama,1995,113161,8012.0,United States of America,Comedy|Thriller|Crime,English,Get Shorty,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",1995-10-20,6.4,Barry Sonnenfeld,Scott Frank,John Travolta|Gene Hackman|Rene Russo|Danny DeVito
22,Copycat (1995),Crime|Drama|Thriller,1995,112722,1710.0,United States of America,Drama|Thriller,English,Copycat,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,1995-10-27,6.5,Jon Amiel,David Madsen,Sigourney Weaver|Holly Hunter|Will Patton|William McNamara
23,Assassins (1995),Thriller,1995,112401,9691.0,France|United States of America,Action|Adventure|Crime|Thriller,English,Assassins,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",1995-10-06,6.0,Richard Donner,Lilly Wachowski,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov
24,Powder (1995),Drama|Sci-Fi,1995,114168,12665.0,United States of America,Drama|Fantasy|Science Fiction|Thriller,English,Powder,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",1995-10-27,6.3,Victor Salva,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum
25,Leaving Las Vegas (1995),Drama|Romance,1995,113627,451.0,United States of America,Drama|Romance,English,Leaving Las Vegas,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1995-10-27,7.1,Mike Figgis,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis
26,Othello (1995),Drama,1995,114057,16420.0,Italy,Drama,English,Othello,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1995-12-15,7.0,Oliver Parker,,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker
27,Now and Then (1995),Drama,1995,114011,9263.0,United States of America,Comedy|Drama|Family,English,Now and Then,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",1995-10-20,6.6,Lesli Linka Glatter,I. Marlene King,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith
28,Persuasion (1995),Romance,1995,114117,17015.0,United Kingdom|France,Drama|Romance,English,Persuasion,Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",1995-09-27,7.4,Roger Michell,Nick Dear,Amanda Root|Ciarán Hinds|Susan Fleetwood|Fiona Shaw
29,The City of Lost Children (1995),Adventure|Sci-Fi,1995,112682,902.0,France|Germany|Spain,Fantasy|Science Fiction|Adventure,French,La Cité des Enfants Perdus,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1995-05-16,7.6,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995,115012,37557.0,China|France,Drama|Crime,Chinese,摇啊摇，摇到外婆桥,Shanghai Triad,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1995-04-30,6.5,Zhang Yimou,,Gong Li|Li Bao-Tian|Wang Xiaoxiao|Li Xuejian
31,Dangerous Minds (1995),Drama,1995,112792,9909.0,United States of America,Drama|Crime,English,Dangerous Minds,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",1995-08-11,6.4,John N. Smith,Ronald Bass,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett
32,Twelve Monkeys (1995),Drama|Sci-Fi,1995,114746,63.0,United States of America,Science Fiction|Thriller|Mystery,English,Twelve Monkeys,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1995-12-29,7.4,Terry Gilliam,David Webb Peoples,Bruce Willis|Madeleine Stowe|Brad Pitt|Christopher Plummer
33,Wings of Courage (1995),Adventure|Romance,1995,114952,78802.0,France|United States of America,Romance|Adventure,French,"Guillaumet, les ailes du courage",Wings of Courage,,1996-09-18,6.8,Jean-Jacques Annaud,Alain Godard,Craig Sheffer|Elizabeth McGovern|Tom Hulce|Ken Pogue
34,Babe (1995),Children's|Comedy|Drama,1995,112431,9598.0,Australia|United States of America,Fantasy|Drama|Comedy|Family,English,Babe,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",1995-07-18,6.0,Chris Noonan,George Miller,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving
35,Carrington (1995),Drama|Romance,1995,112637,47018.0,France|United Kingdom,History|Drama|Romance,English,Carrington,Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1995-11-08,6.4,Christopher Hampton,Christopher Hampton,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West
36,Dead Man Walking (1995),Drama,1995,112818,687.0,United States of America|United Kingdom,Drama,English,Dead Man Walking,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,1995-12-29,7.3,Tim Robbins,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry
37,Across the Sea of Time (1995),Documentary,1995,112286,139405.0,United States of America,Adventure|History|Drama|Family,English,Across the Sea of Time,Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",1995-10-20,3.5,Stephen Low,,Peter Reznick|John McDonough|Avi Hoffman|Matt Malloy
38,It Takes Two (1995),Comedy,1995,113442,33689.0,United States of America,Comedy|Family|Romance,English,It Takes Two,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",1995-11-17,6.1,Andy Tennant,,Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen
39,Clueless (1995),Comedy|Romance,1995,112697,9603.0,United States of America,Comedy|Drama|Romance,English,Clueless,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995-07-19,6.9,Amy Heckerling,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd
40,"Cry, the Beloved Country (1995)",Drama,1995,112749,34615.0,South Africa,Drama,English,"Cry, the Beloved Country","Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,1995-12-15,6.7,Darrell James Roodt,,James Earl Jones|Charles S. Dutton|Jack Robinson|Tsholofelo Wechoemang
41,Richard III (1995),Drama|War,1995,114279,31174.0,United Kingdom|United States of America,Drama|War,English,Richard III,Richard III,Shakespeare's Play transplanted into a 1930s setting.,1995-12-29,6.9,Richard Loncraine,,Ian McKellen|Annette Bening|Jim Broadbent|Kristin Scott Thomas
42,Dead Presidents (1995),Action|Crime|Drama,1995,112819,11443.0,United States of America,Action|Crime|Drama|History,English,Dead Presidents,Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",1995-10-06,6.6,Albert Hughes,Michael Henry Brown,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez
43,Restoration (1995),Drama,1995,114272,35196.0,United States of America,Drama|Romance,English,Restoration,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",1995-12-29,6.3,Michael Hoffman,,Robert Downey Jr.|Meg Ryan|Sam Neill|David Thewlis
44,Mortal Kombat (1995),Action|Adventure,1995,113855,9312.0,United States of America,Action|Fantasy,English,Mortal Kombat,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",1995-08-18,5.4,Paul W.S. Anderson,Ed Boon,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa
45,To Die For (1995),Comedy|Drama,1995,114681,577.0,United States of America,Fantasy|Drama|Comedy|Thriller,English,To Die For,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",1995-05-20,6.7,Gus Van Sant,Buck Henry,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck
46,How to Make an American Quilt (1995),Drama|Romance,1995,113347,11861.0,United States of America,Drama|Romance,English,How To Make An American Quilt,How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",1995-10-06,6.5,Jocelyn Moorhouse,Jane Anderson,Winona Ryder|Anne Bancroft|Ellen Burstyn|Kate Nelligan
47,Seven (Se7en) (1995),Crime|Thriller,1995,114369,807.0,United States of America,Crime|Mystery|Thriller,English,Se7en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,8.1,David Fincher,Andrew Kevin Walker,Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley
48,Pocahontas (1995),Animation|Children's|Musical|Romance,1995,114148,10530.0,United States of America,Adventure|Animation|Drama|Family,English,Pocahontas,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",1995-06-14,6.7,Mike Gabriel,Susannah Grant,Irene Bedard|Mel Gibson|David Ogden Stiers|John Kassir
49,When Night Is Falling (1995),Drama|Romance,1995,114916,8391.0,Canada,Drama|Romance,English,When Night Is Falling,When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",1995-05-05,5.9,Patricia Rozema,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny|Don McKellar
50,The Usual Suspects (1995),Crime|Thriller,1995,114814,629.0,United States of America,Drama|Crime|Thriller,English,The Usual Suspects,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995-07-19,8.1,Bryan Singer,,Stephen Baldwin|Gabriel Byrne|Chazz Palminteri|Kevin Pollak
51,Guardian Angel (1994),Action|Drama|Thriller,1994,109950,117164.0,unkown,Action|Thriller|Drama,English,Guardian Angel,Guardian Angel,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",1994-11-22,6.3,Richard W. Munchkin,,Cynthia Rothrock|Marshall R. Teague|Daniel McVicar|Lydie Denier
52,Mighty Aphrodite (1995),Comedy,1995,113819,11448.0,United States of America,Comedy|Romance,English,Mighty Aphrodite,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",1995-09-13,6.7,Woody Allen,Woody Allen,Woody Allen|Mira Sorvino|Helena Bonham Carter|F. Murray Abraham
53,Lamerica (1994),Drama,1994,110299,49133.0,Italy|France|Switzerland,Drama|Foreign,Italian,Lamerica,Lamerica,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",1994-01-01,7.7,Gianni Amelio,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli
54,The Big Green (1995),Children's|Comedy,1995,112499,26441.0,United States of America,Action|Adventure|Comedy|Family,English,The Big Green,The Big Green,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",1995-09-29,5.2,Holly Goldberg Sloan,,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry
55,Georgia (1995),Drama,1995,113158,97406.0,France|United States of America,Drama,English,Georgia,Georgia,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",1995-05-19,6.1,Ulu Grosbard,Barbara Turner,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,1995,113541,124057.0,unkown,,English,Kids of the Round Table,Kids of the Round Table,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",1997-07-08,3.0,Robert Tinnell,David Sherman,Johnny Morina|Malcolm McDowell|Maggie Castle|James Rae
57,Home for the Holidays (1995),Drama,1995,113321,9089.0,United States of America,Comedy|Drama|Romance,English,Home for the Holidays,Home for the Holidays,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",1995-11-02,6.3,Jodie Foster,Chris Radant,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning
58,"Postino, Il (The Postman) (1994)",Drama|Romance,1994,110877,11010.0,Belgium|France|Italy,Comedy|Drama|Romance,Italian,Il postino,The Postman,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,1994-09-22,7.6,Michael Radford,Furio Scarpelli,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa
